x,y,radial distance,birth gen,mutation
-1.6949,2.25867,2.82387,1.0,0.0
0.586849,-0.605844,0.843468,1.0,0.0
0.494853,0.0732912,0.500251,1.0,0.0
1.72705,-4.54389,4.86103,1.0,0.0
-3.14253,-1.42107,3.44891,1.0,0.0
0.998276,0.511669,1.12177,1.0,0.0
-4.12904,-0.000146359,4.12904,1.0,0.0
-2.36477,5.09244,5.61472,1.0,0.0
1.73537,-4.64449,4.9581,1.0,0.0
0.460676,-3.70794,3.73645,1.0,0.0
-1.22175,-3.941,4.12604,1.0,0.0
3.6647,-2.01159,4.18049,1.0,0.0
-3.98856,2.18905,4.54978,1.0,0.0
1.86448,0.519496,1.9355,1.0,0.0
1.28506,1.0512,1.66024,1.0,0.0
-1.64439,0.273966,1.66706,1.0,0.0
0.779425,-2.48355,2.60298,1.0,0.0
0.564844,1.03669,1.18058,1.0,0.0
1.72917,0.228782,1.74424,1.0,0.0
-0.499892,0.321213,0.594197,1.0,0.0
-0.372334,-0.205154,0.425113,1.0,0.0
2.01775,0.333374,2.0451,1.0,0.0
-0.687254,-0.743263,1.0123,1.0,0.0
-0.451531,2.16349,2.2101,1.0,0.0
-3.10083,-1.94087,3.65816,1.0,0.0
-0.912074,-0.283257,0.955046,1.0,0.0
4.66098,-0.530563,4.69108,1.0,0.0
2.8322,2.34766,3.67871,1.0,0.0
0.562738,-1.04012,1.18259,1.0,0.0
0.975968,-0.544817,1.11774,1.0,0.0
0.255673,0.345619,0.429908,1.0,0.0
-3.48897,1.10251,3.65903,1.0,0.0
-2.07788,-2.35094,3.13759,1.0,0.0
2.15211,-1.47663,2.60999,1.0,0.0
-2.81339,0.00436295,2.81339,1.0,0.0
-1.08917,0.873619,1.39624,1.0,0.0
1.96186,-2.16727,2.92335,1.0,0.0
-4.03799,-0.173077,4.0417,1.0,0.0
-3.27305,-2.06895,3.87213,1.0,0.0
0.247454,0.775125,0.813666,1.0,0.0
